"","Symbol","Chr","Length","Description","Type","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Xaf1","Xaf1","chr11",2598,"XIAP associated factor 1","protein-coding",-4.9357633288131,0.208831408912603,-4.45767113029336,0.0018896132907324,0.00811094009650563,-1.16424349948736
"Hrob","Hrob","chr11",2543,"homologous recombination factor with OB-fold","protein-coding",1.35320388007908,4.54951188611064,4.61762267843387,0.00143080684718857,0.00667036543742639,-1.16582149462721
"Rreb1","Rreb1","chr13",13633,"ras responsive element binding protein 1","protein-coding",1.07678129988869,6.2817225234685,4.85468855248951,0.00103783455076273,0.00531229353962519,-1.16686512772304
"Calu","Calu","chr6",3410,"calumenin","protein-coding",-1.11442864956287,7.37890362239445,-4.91833830510693,0.000953435951840939,0.00500762366520914,-1.1674981916102
"Ncbp1","Ncbp1","chr4",3112,"nuclear cap binding protein subunit 1","protein-coding",0.896076016495099,7.87979405967703,4.91518382805151,0.000957439054863368,0.00501959420737014,-1.16782268990906
"Cd53","Cd53","chr3",2802,"CD53 antigen","protein-coding",-1.35359174702996,6.82165243265848,-4.91400541557864,0.00095893914975705,0.00502226015842332,-1.17028341626391
"Dnajc2","Dnajc2","chr5",2037,"DnaJ heat shock protein family (Hsp40) member C2","protein-coding",0.821912978080844,7.70761016616133,4.91231637351352,0.000961093702108287,0.00502511521508358,-1.17063317572128
"Gemin4","Gemin4","chr11",3448,"gem nuclear organelle associated protein 4","protein-coding",1.47936068988115,6.14891594240607,4.81175833110462,0.00109930387284901,0.00553995067640381,-1.17161062285776
"Fam122b","Fam122b","chrX",4334,"family with sequence similarity 122, member B","protein-coding",1.12321093339787,5.32877395510049,4.74200913325203,0.00120772243792038,0.00590590282504406,-1.17371365574319
"Paxip1","Paxip1","chr5",5054,"PAX interacting (with transcription-activation domain) protein 1","protein-coding",1.26673324336909,7.29568491607859,4.89315689275779,0.000985903706885019,0.00512707846953552,-1.17876173326094
"Dlk2","Dlk2","chr17",1532,"delta like non-canonical Notch ligand 2","protein-coding",-2.57854082835677,-1.33453078777128,-4.26412154435926,0.00234507356056559,0.00949921971309059,-1.17901531489274
"Gm29673","Gm29673","chr10",1543,"predicted gene, 29673","protein-coding",8.18138620445166,5.19546176399706,4.30335203324064,0.00237752356437125,0.00960457009676238,-1.18075248682923
"Ints10","Ints10","chr8",2410,"integrator complex subunit 10","protein-coding",1.13978733995811,6.05786432178899,4.82046086157516,0.00108653224554125,0.0055022481243308,-1.18145282046236
"Cacul1","Cacul1","chr19",5790,"CDK2 associated, cullin domain 1","protein-coding",1.06693098235755,6.83819740702713,4.87844879310151,0.00100541949482912,0.00519658906329685,-1.18157222415018
"Fndc4","Fndc4","chr5",2270,"fibronectin type III domain containing 4","protein-coding",-4.4182341594927,-1.27926788275603,-4.3040075922807,0.00221818140339353,0.00913440241508121,-1.18252834557186
"Ext1","Ext1","chr15",3464,"exostosin glycosyltransferase 1","protein-coding",-5.96574044141469,0.743918311969573,-4.50834222983952,0.00179406501164544,0.00781787472892722,-1.18333573050817
"Dlx2","Dlx2","chr2",2473,"distal-less homeobox 2","protein-coding",-6.19020220754987,-3.90619617804387,-6.65886451561494,0.00391229620787743,0.013768286822787,-1.18353230620313
"Zfp157","Zfp157","chr5",5304,"zinc finger protein 157","protein-coding",-1.47691723688675,3.68657257939054,-4.69714224886712,0.00128353235037944,0.00615849570953882,-1.1892491216694
"Angpt1","Angpt1","chr15",4078,"angiopoietin 1","protein-coding",-10.8934688036943,-2.73009691736014,-6.91482615751446,0.00443713951620052,0.0151085628297195,-1.19201826090342
"Ogfrl1","Ogfrl1","chr1",4844,"opioid growth factor receptor-like 1","protein-coding",-6.70427587094282,1.04487945434748,-4.52102641161794,0.00176343553287642,0.00772131212435948,-1.19263825733684
"Tespa1","Tespa1","chr10",1694,"thymocyte expressed, positive selection associated 1","protein-coding",-1.8613168789344,3.45515490396067,-4.68004044998198,0.00131376712234081,0.00624813410523041,-1.1933707154
"Slc52a3","Slc52a3","chr2",2766,"solute carrier protein family 52, member 3","protein-coding",-4.18066421679551,-0.926160158470486,-4.31103145093594,0.00219394578467228,0.00906334890148301,-1.19418331608308
"Susd2","Susd2","chr10",3255,"sushi domain containing 2","protein-coding",-3.59702258879233,-2.68642033800889,-4.22624837851245,0.0024752278408217,0.00986045036664056,-1.19526334457715
"Acad9","Acad9","chr3",3913,"acyl-Coenzyme A dehydrogenase family, member 9","protein-coding",1.088574402987,6.34695646485955,4.83857410538594,0.00106046096195352,0.00539564438558356,-1.19537421447226
"Sparcl1","Sparcl1","chr5",3117,"SPARC-like 1","protein-coding",-8.60913605113095,-3.30579478808909,-6.93414859409932,0.00439838020430129,0.0150253912941783,-1.19593284538248
"Nup153","Nup153","chr13",6021,"nucleoporin 153","protein-coding",1.42371486217186,7.81953708640024,4.8910238144857,0.000988708448370314,0.00513231760366282,-1.19600762563777
"Ttf2","Ttf2","chr3",4541,"transcription termination factor, RNA polymerase II","protein-coding",1.08853689398596,6.44936964061245,4.84473684450323,0.00105174545507446,0.00536551870535953,-1.19666718571231
"Map3k5","Map3k5","chr10",5393,"mitogen-activated protein kinase kinase kinase 5","protein-coding",-6.1537973034238,1.72120338483726,-4.56662442636478,0.00165790572843665,0.00739819912679603,-1.2003896821851
"Marchf2","Marchf2","chr17",3966,"membrane associated ring-CH-type finger 2","protein-coding",-1.23971126547934,4.40246231816621,-4.77304538890369,0.00115811686999956,0.00572956392216029,-1.20039364280595
"Ssx2ip","Ssx2ip","chr3",3696,"synovial sarcoma, X 2 interacting protein","protein-coding",1.59946053933281,4.98700394807204,4.62934095769386,0.00140800441225172,0.00659202704910143,-1.20061398314906
"Fastkd1","Fastkd1","chr2",2860,"FAST kinase domains 1","protein-coding",1.1126671576045,4.53223519930091,4.61195191183439,0.00144198414471954,0.00670463123134557,-1.20120545080106
"Knl1","Knl1","chr2",6525,"kinetochore scaffold 1","protein-coding",1.28698520833996,6.55745006256589,4.83841115900166,0.00106069246186533,0.00539564438558356,-1.20200894212622
"Nhsl2","Nhsl2","chrX",12971,"NHS-like 2","protein-coding",4.46996381136422,1.37031932507206,4.21492940474968,0.00251561229940169,0.00997758694638025,-1.20712317378174
"Ergic3","Ergic3","chr2",1297,"ERGIC and golgi 3","protein-coding",-0.64227883328396,6.11191130499685,-4.87222765283845,0.00101379955012262,0.00522940811477471,-1.21081536146049
"Snhg14","Snhg14","chr7",2193,"small nucleolar RNA host gene 14","ncRNA",-4.9789769174645,-4.20194306214403,-6.70845443327985,0.00381613713003338,0.0134861448340777,-1.21571141490243
"Vat1l","Vat1l","chr8",3655,"vesicle amine transport protein 1 like","protein-coding",-4.9789769174645,-4.20194306214403,-6.70845443327985,0.00381613713003338,0.0134861448340777,-1.21571141490243
"Runx3","Runx3","chr4",3891,"runt related transcription factor 3","protein-coding",2.53151314712413,5.90928683734615,4.66504892349963,0.00137041875299657,0.00646300382255549,-1.21643504586188
"Ccnd3","Ccnd3","chr17",2261,"cyclin D3","protein-coding",-2.79203305493549,7.68301909504944,-4.93393126812378,0.00101976128169975,0.00524664851212418,-1.21706879913617
"Timm10","Timm10","chr2",666,"translocase of inner mitochondrial membrane 10","protein-coding",1.00365158080148,5.05680534764892,4.68541553384702,0.0013041823811709,0.00621820751526301,-1.21781764237454
"Sobp","Sobp","chr10",4980,"sine oculis binding protein","protein-coding",-2.80809756480484,-1.63419222009166,-4.22723540685244,0.00247173932478854,0.00985270855261376,-1.21978894812264
"Maml2","Maml2","chr9",6743,"mastermind like transcriptional coactivator 2","protein-coding",-4.2560209425699,1.7280802711901,-4.55592323865416,0.00168204429133102,0.00747139318761063,-1.22191985394717
"Qtrt2","Qtrt2","chr16",2829,"queuine tRNA-ribosyltransferase accessory subunit 2","protein-coding",1.42885942995949,5.50315669281422,4.70399331916634,0.00127163150543454,0.00612094324848005,-1.22193059231572
"Shq1","Shq1","chr6",1990,"SHQ1 homolog (S. cerevisiae)","protein-coding",2.08357726401083,4.60443286946738,4.52150883213477,0.001633564078404,0.00731371520003328,-1.22231255513488
"Coq2","Coq2","chr5",1712,"coenzyme Q2 4-hydroxybenzoate polyprenyltransferase","protein-coding",1.12018307220605,6.15762769159138,4.80237303545706,0.00111325956611074,0.00557908917471586,-1.2234979805066
"Zranb3","Zranb3","chr1",4154,"zinc finger, RAN-binding domain containing 3","protein-coding",1.41333023714547,4.64453878007764,4.58380124963179,0.00149888065018224,0.00688395559480777,-1.22427295074399
"Agpat4","Agpat4","chr17",1910,"1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)","protein-coding",-5.00792688043523,0.789940023908051,-4.47374035392535,0.00188057937559606,0.00808242648996639,-1.22482162994547
"Cd44","Cd44","chr2",5654,"CD44 antigen","protein-coding",1.22710952726477,7.17699488889117,4.85743888729362,0.0010340251992547,0.00530325248729758,-1.22508727225976
"Ppl","Ppl","chr16",6277,"periplakin","protein-coding",-4.03833203957471,0.0342597467612006,-4.35528544125812,0.00209174049016806,0.00874533802336498,-1.22705689577759
"Rangap1","Rangap1","chr15",3002,"RAN GTPase activating protein 1","protein-coding",1.18244379331126,8.36592415072358,4.8751835925088,0.00100980843344504,0.00521528641276178,-1.22734651619027
"Lsg1","Lsg1","chr16",2302,"large 60S subunit nuclear export GTPase 1","protein-coding",0.863186076432821,6.81615807182243,4.851512089381,0.00104225300305172,0.00532549722721196,-1.22822047740569
"Glis3","Glis3","chr19",3917,"GLIS family zinc finger 3","protein-coding",-4.19646721600829,-2.09125935953092,-4.22452747669195,0.00248132274946412,0.00987344464258516,-1.23196330041241
"Gon4l","Gon4l","chr3",7584,"gon-4-like (C.elegans)","protein-coding",1.03693271499297,6.26789317625395,4.81026851120064,0.00110150651551527,0.00554485092936784,-1.23212912294443
"Hax1","Hax1","chr3",1117,"HCLS1 associated X-1","protein-coding",1.43569680249257,4.88432253286522,4.61067558207871,0.00144451279049425,0.00670916851189681,-1.23227810060734
"Snord69","Snord69","chr14",59,"small nucleolar RNA, C/D box 69","snoRNA",1.85599693247246,2.74320863925772,4.33680730880832,0.00211538044733284,0.00881691092120446,-1.23315421194233
"Mgst3","Mgst3","chr1",635,"microsomal glutathione S-transferase 3","protein-coding",-3.29929791572907,1.44548310419351,-4.46094676539377,0.00180481386437363,0.00784189263951684,-1.23334901962641
"Hcar1","Hcar1","chr5",3285,"hydrocarboxylic acid receptor 1","protein-coding",-5.01499423598467,-4.19459498758688,-6.65831835515176,0.00391337218342003,0.013768286822787,-1.23351415891126
"Nsun7","Nsun7","chr5",2552,"NOL1/NOP2/Sun domain family, member 7","protein-coding",-6.99437447201492,-3.68957213807934,-6.61614733289683,0.0043423206152464,0.0148601662968227,-1.23411253015725
"Atp5g2","Atp5g2","chr15",647,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)","protein-coding",1.94627705833835,3.37462487311636,4.38829741758693,0.00196733166011411,0.00835436286947329,-1.23523058541527
"Rps12-ps16","Rps12-ps16","chrX",399,"ribosomal protein S12, pseudogene 16","protein-coding",2.90492904737487,1.18460521324075,4.21379182054683,0.00251970988173308,0.00999090830232053,-1.23604505433648
"Dll1","Dll1","chr17",3428,"delta like canonical Notch ligand 1","protein-coding",-3.45483805804243,-2.93577203216947,-4.18908951877761,0.00261047293059091,0.0102396879879662,-1.23708176880667
"Pcdhb7","Pcdhb7","chr18",3506,"protocadherin beta 7","protein-coding",-5.63543187979585,-4.04245170611557,-6.58238961737293,0.00406666337818237,0.0141641822607944,-1.23716846706609
"Riox2","Riox2","chr16",2159,"ribosomal oxygenase 2","protein-coding",1.54900655276609,5.56345984962361,4.68845773941417,0.00129879103398239,0.00620537543164386,-1.23867431835471
"Fam136a","Fam136a","chr6",1606,"family with sequence similarity 136, member A","protein-coding",1.32903507698375,7.16466867012889,4.84427970230134,0.00105238929122206,0.00536551870535953,-1.23890682450315
"Atp5md","Atp5md","chr19",341,"ATP synthase membrane subunit DAPIT","protein-coding",1.62114193231091,5.47586930344113,4.67114510265291,0.00132979646179519,0.00630441022438035,-1.23911235894275
"Snord89","Snord89","chr1",94,"small nucleolar RNA, C/D box 89","snoRNA",2.49840729624249,-0.792821674592495,4.17767665850015,0.00265358313592938,0.0103636908090414,-1.23961663149882
"Exo1","Exo1","chr1",5506,"exonuclease 1","protein-coding",1.37340198014279,6.28058649289563,4.78516220954198,0.00113935155295994,0.00566158483923976,-1.23968259967926
"Llph-ps2","Llph-ps2","chrX",747,"LLP homolog, pseudogene 2","protein-coding",1.28465654919333,6.00279083150781,4.76423813494307,0.00117196608202967,0.00577904937823604,-1.2416242311582
"Hcfc1","Hcfc1","chrX",8093,"host cell factor C1","protein-coding",0.836146012951426,8.95870364719677,4.86657278419636,0.00102148238215629,0.00525350448426595,-1.2443097220756
"Castor1","Castor1","chr11",1548,"cytosolic arginine sensor for mTORC1 subunit 1","protein-coding",-2.64312923156074,-1.30864833399009,-4.21848097983299,0.00250286535918954,0.00994161061151639,-1.24581041973435
"Hes6","Hes6","chr1",1335,"hairy and enhancer of split 6","protein-coding",1.42228913927182,7.74676436745486,4.85361665077671,0.00103932329520376,0.00531493580728065,-1.24773239790237
"Tbx6","Tbx6","chr7",1715,"T-box 6","protein-coding",-3.07514930741172,0.387540600282051,-4.33343358500227,0.00212548969129461,0.00884813611945639,-1.24895065113866
"Tmem127","Tmem127","chr2",4401,"transmembrane protein 127","protein-coding",-0.714603843376133,5.3518201973539,-4.80490490789817,0.00110947597832702,0.00557045105939833,-1.25386659791425
"Aff1","Aff1","chr5",8496,"AF4/FMR2 family, member 1","protein-coding",0.72320117181934,7.95057747588929,4.85563677674168,0.00103651950154902,0.00530862885622893,-1.2542886438664
"Tfb2m","Tfb2m","chr1",2448,"transcription factor B2, mitochondrial","protein-coding",1.83434286718178,5.00567336161224,4.57346632764894,0.0015203720526282,0.00695196162447952,-1.25447063016523
"Nudt18","Nudt18","chr14",3716,"nudix (nucleoside diphosphate linked moiety X)-type motif 18","protein-coding",-1.58559468841999,2.80112035050876,-4.53282753720143,0.001608154428491,0.00725278720067606,-1.25484581383798
"Epor","Epor","chr9",1829,"erythropoietin receptor","protein-coding",-2.46308603141253,-1.25106398963958,-4.20927243426711,0.00253605945654606,0.0100380737447188,-1.25671428147703
"Dhx37","Dhx37","chr5",4141,"DEAH (Asp-Glu-Ala-His) box polypeptide 37","protein-coding",1.13838943493832,6.5201693085259,4.80376167359097,0.00111118268521759,0.00557487980958329,-1.25856241990258
"Cdc7","Cdc7","chr5",2960,"cell division cycle 7 (S. cerevisiae)","protein-coding",1.04397509974641,5.97731860052076,4.76581883004312,0.00116946736252182,0.00576997203589587,-1.25895566919746
"Park7","Park7","chr4",903,"Parkinson disease (autosomal recessive, early onset) 7","protein-coding",0.823143172543306,8.05811535618962,4.85128464139418,0.00104257016200208,0.00532549722721196,-1.26085817717668
"Gstm5","Gstm5","chr3",911,"glutathione S-transferase, mu 5","protein-coding",-4.1204798639647,-0.996379998570535,-4.25609017077628,0.00237204849551395,0.00958531611113096,-1.26252558822441
"Nus1","Nus1","chr10",4614,"NUS1 dehydrodolichyl diphosphate synthase subunit","protein-coding",0.774505786191678,7.25701036832838,4.84024117450172,0.00105809567188902,0.00538851660249016,-1.26600465667536
"Trim37","Trim37","chr11",5631,"tripartite motif-containing 37","protein-coding",1.42606378624929,6.9284719358061,4.80918567169025,0.00110311044570893,0.00554879327992206,-1.26767908735589
"Tmub1","Tmub1","chr5",1320,"transmembrane and ubiquitin-like domain containing 1","protein-coding",-1.15760636430518,2.80283752504273,-4.49594985461211,0.00169254561157279,0.00750078964735356,-1.26969447069654
"2700038G22Rik","2700038G22Rik","chr5",1370,"RIKEN cDNA 2700038G22 gene","ncRNA",1.66367445493426,3.98906376272862,4.44981339337204,0.00180489386097008,0.00784189263951684,-1.27279475836951
"F420014N23Rik","F420014N23Rik","chr10",2552,"RIKEN cDNA F420014N23 gene","ncRNA",-2.29969620731093,-0.355669691762336,-4.23941413855918,0.00242912595716345,0.00974027641364382,-1.27409454616357
"U2af2","U2af2","chr7",2202,"U2 small nuclear ribonucleoprotein auxiliary factor (U2AF) 2","protein-coding",0.788054244020261,8.87663225662913,4.84441515293094,0.0010521984790141,0.00536551870535953,-1.27573647210703
"Ankrd52","Ankrd52","chr10",6615,"ankyrin repeat domain 52","protein-coding",0.890563239254751,7.4956361801244,4.835740600311,0.00106449435192767,0.00540887941841938,-1.27614354881304
